airplane,EH1.R.P.L.EY2.N
scar,S.K.AA1.R
skirt,S.K.ER1.T
serial,S.IH1.R.IY0.AH0.L
sir,S.ER1
siren,S.AY1.R.AH0.N
sip,S.IH1.P
sit,S.IH1.T
savor,S.EY1.V.ER0
sailboat,S.EY1.L.B.OW2.T
six,S.IH1.K.S
sudden,S.AH1.D.AH0.N
sundae,S.AH1.N.D.EY2
serum,S.IH1.R.AH0.M
sunday,S.AH1.N.D.IY2
salivate,S.AE1.L.AH0.V.EY2.T
sate,S.EY1.T
sacred,S.EY1.K.R.IH0.D
septuplet,S.EH0.P.T.AH1.P.L.EH0.T
stir,S.T.ER1
sin,S.IH1.N
sim,S.IH1.M
stand,S.T.AE1.N.D
suffer,S.AH1.F.ER0
simplicity,S.IH0.M.P.L.IH1.S.IH0.T.IY0
sandwich,S.AE1.N.D.W.IH0.CH
scion,S.AY1.AH0.N
singular,S.IH1.NG.G.Y.AH0.L.ER0
still,S.T.IH1.L
sunny,S.AH1.N.IY0
sacrifice,S.AE1.K.R.AH0.F.AY2.S
soda,S.OW1.D.AH0
southern,S.AH1.DH.ER0.N
spot,S.P.AA1.T
sardinia,S.AA0.R.D.IY1.N.IY0.AH0
spicy,S.P.AY1.S.IY0
softball,S.AO1.F.B.AO2.L
salsa,S.AO1.L.S.AH0
suck,S.AH1.K
strut,S.T.R.AH1.T
synchrony,S.IH1.NG.K.R.AH0.N.IY0
solidarity,S.AA2.L.AH0.D.EH1.R.AH0.T.IY0
stress,S.T.R.EH1.S
short,SH.AO1.R.T
stymie,S.T.AY1.M.IY0
stein,S.T.AY1.N
symphony,S.IH1.M.F.AH0.N.IY0
some_other,S.AH1.M.AH1.DH.ER0
sandbox,S.AE1.N.D.B.AA2.K.S
sundry,S.AH1.N.D.R.IY0
green,G.R.IY1.N
south,S.AW1.TH
shade,SH.EY1.D
seems,S.IY1.M.Z
species,S.P.IY1.SH.IY0.Z
seaway,S.IY1.W.EY2
swimming,S.W.IH1.M.IH0.NG
serenade,S.EH2.R.AH0.N.EY1.D
salon,S.AH0.L.AA1.N
sonnet,S.AA1.N.IH0.T
San_Francisco,S.AE1.N.F.R.AE0.N.S.IH0.S.K.OW0.S.AE1.N.F.R.AE0.N.S.IH0.S.K.OW0
shield,SH.IY1.L.D
sout,S.AW1.T
september,S.EH2.P.T.EH1.M.B.ER0
shaky,SH.EY1.K.IY0
Smith,S.M.IH1.TH
satisfied,S.AE1.T.IH0.S.F.AY2.D
sociability,S.OW1.SH.AH0.B.IH2.L.AH0.T.IY0
sperm,S.P.ER1.M
shearers,SH.IY1.R.ER0.Z
attitude,AE1.T.AH0.T.UW2.D
shake,SH.EY1.K
strangle,S.T.R.AE1.NG.G.AH0.L
snapdragon,S.N.AE1.P.D.R.AE2.G.AH0.N
subterranean,S.AH2.B.T.ER0.EY1.N.IY0.AH0.N
sacrosanct,S.AE1.K.R.OW0.S.AE2.NG.K.T
saucy,S.AO1.S.IY0
solitary,S.AA1.L.AH0.T.EH2.R.IY0
style,S.T.AY1.L
silk,S.IH1.L.K
solace,S.OW1.L.IH0.S
somewhere,S.AH1.M.W.EH2.R
supplicant,S.AH1.P.L.AH0.K.AH0.N.T
avocado,AE2.V.AH0.K.AA1.D.OW0
strange,S.T.R.EY1.N.JH
sacriligious,S.AE1.K.R.AH0.L.IH2.JH.AH0.S
systems,S.IH1.S.T.AH0.M.Z
saxon,S.AE1.K.S.AH0.N
sanctification,S.AE2.NG.K.T.AH0.F.AH0.K.EY1.SH.AH0.N
orange,AO1.R.IH0.N.JH
synthesize,S.IH1.N.TH.AH0.S.AY2.Z
soccer,S.AA1.K.ER0
sauce,S.AO1.S
Spain,S.P.EY1.N
split,S.P.L.IH1.T
sweat,S.W.EH1.T
sapling,S.AE1.P.L.IH0.NG
somebody,S.AH1.M.B.AA2.D.IY0
sword,S.AO1.R.D
smash,S.M.AE1.SH
sucker,S.AH1.K.ER0
safe,S.EY1.F
smothering,S.M.AH1.DH.ER0.IH0.NG
soulful,S.OW1.L.F.AH0.L
oranges,AO1.R.IH0.N.JH.IH0.Z
sorteo,S.OW0.R.T.EH1.OW0
snake,S.N.EY1.K
safari,S.AH0.F.AA1.R.IY0
foot,F.UH1.T
sorted,S.AO1.R.T.IH0.D
sixteen,S.IH0.K.S.T.IY1.N
silver,S.IH1.L.V.ER0
saddened,S.AE1.D.AH0.N.D
suppose,S.AH0.P.OW1.Z
shifty,SH.IH1.F.T.IY0
Sam,S.AE1.M
sophomore,S.AA1.F.M.AO2.R
servant,S.ER1.V.AH0.N.T
scenic,S.IY1.N.IH0.K
semiannual,S.EH2.M.AH0.AE1.N.Y.AH0.W.AH0.L
suspicion,S.AH0.S.P.IH1.SH.AH0.N
syncopation,S.IH1.NG.K.AH0.P.EY2.SH.AH0.N
slide,S.L.AY1.D
safeway,S.EY1.F.W.EY2
soggy,S.AA1.G.IY0
stock,S.T.AA1.K
side,S.AY1.D
sisle,S.IH1.S.AH0.L
signing,S.AY1.N.IH0.NG
square,S.K.W.EH1.R
series,S.IH1.R.IY0.Z
Saturday,S.AE1.T.ER0.D.EY0
sled,S.L.EH1.D
solution,S.AH0.L.UW1.SH.AH0.N
society,S.AH0.S.AY1.AH0.T.IY0
seesaw,S.IY1.S.AO2
surly,S.ER1.L.IY0
