id	cluster	index_z_score	intrusions	mean_frequency	mean_syllables	mr_freq	mr_ortho	mr_phon	mr_sem	ortho_alg_con	ortho_average_cluster_coeff	ortho_average_degree	ortho_cluster	ortho_coherence	ortho_diameter	ortho_max_betweenness	ortho_radius	ortho_switch	ortho_transitivity	phon_alg_con	phon_cluster	phon_coherence	phon_diameter	phon_radius	phon_switch	phono_average_cluster_coeff	phono_average_degree	phono_max_betweenness	phono_transitivity	raw	repetitions	sem_alg_con	sem_average_cluster_coeff	sem_average_degree	sem_cluster	sem_coherence	sem_diameter	sem_max_betweenness	sem_radius	sem_switch	sem_transitivity	sum_frequency	sum_recip_freq	sum_syllables	switch	task
1	0.0	-0.759966839935	0	9.09055905088	2.76923076923	12.3221966445	0.545454545455	0.571428571429	0.0704922058277	2.79632684464	0.0	1.5	0.0833333333333	0.686190536333	1.0	0.190476190476	0.739130434783	11.0	0.0	1.28952744923	0.0833333333333	0.593157393084	1.0	0.818181818182	11.0	0.259259259259	1.55555555556	0.0714285714286	0.5	13	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	12.0	0.0	118.177267661	2.00753136901	36	12.0	boats
1	0.0	inf	0	11.2435560716	2.6	7.83814778284	0.666666666667	0.615384615385	0.283932611935	1.88857164094	0.428571428571	1.71428571429	0.111111111111	0.527731387865	1.0	0.2	0.769230769231	8.0	0.5	1.07020819538	0.0	0.459481991504	1.0	0.833333333333	9.0	0.0	1.0	0.0	0.0	10	0	0.0	0.452380952381	2.57142857143	0.111111111111	0.612116384027	1.0	0.6	1.0	8.0	0.45	112.435560716	0.928104909783	26	9.0	boats
1	0.0	-2.39666611869	0	10.7320470823	2.77777777778	5.26800979118	0.666666666667	0.615384615385	0.283932611935	1.51745799054	0.5	1.66666666667	0.285714285714	0.829458774322	1.0	0.1	0.777777777778	6.0	0.75	1.18692615359	0.125	0.813039728193	1.0	0.789473684211	7.0	0.0	1.0	0.0	0.0	9	0	0.0	0.416666666667	2.33333333333	0.285714285714	0.738460624913	1.0	0.7	1.0	6.0	0.461538461538	96.5884237405	0.859542798787	25	8.0	boats
20	0.0	-0.767847270102	0	11.5352252941	1.85714285714	10.3732355191	0.571428571429	0.6	0.311731038357	0.900372143383	0.0	1.33333333333	0.166666666667	0.674287640598	1.0	1.0	0.777777777778	5.0	0.0	0.419693220126	0.166666666667	0.833363357954	1.0	0.857142857143	5.0	0.0	1.0	0.0	0.0	7	0	0.0548230080699	0.611111111111	3.0	0.75	0.627949985086	1.0	0.4	0.973050656052	3.0	0.714285714286	80.746577059	0.673024472234	13	6.0	boats
21	0	None	0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	boats
21	0.0	-2.53662055634	0	14.4144961847	2.0	0.0	0.0	0.0	0.0	0.615384615385	0.0	1.0	0.0	1.0	0.692307692308	0.0	0.692307692308	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	2	0	0.355250824887	0.0	1.0	1.0	1.0	0.822374587557	0.0	0.822374587557	0.0	0.0	28.8289923694	0.140109455496	4	1.0	boats
22	0.333333333333	-2.07817067695	0	8.57717465186	2.25	3.80216254771	0.131578947368	0.0615384615385	0.0	2.10530674113	1.0	3.0	3.0	0.925886456113	0.5	0.0	0.428571428571	0.0	1.0	1.63382284694	3.0	0.975083056478	0.6	0.571428571429	0.0	1.0	3.0	0.0	1.0	4	0	0.0	0.0	0.0	0.0	nan	1.0	0.0	1.0	3.0	0.0	34.3086986074	0.48930548975	9	2.0	boats
23	0.0	-3.33940768348	0	9.80197820798	2.6	7.8656178637	0.533333333333	0.333333333333	0.129208774118	0.643311824621	0.0	1.0	0.25	0.720814977974	1.0	0.0	0.8	3.0	0.0	0.345646488816	0.0	0.598558086187	1.0	0.882352941176	4.0	0.0	1.0	0.0	0.0	5	0	0.0	0.0	1.0	0.0	0.00598929618893	1.0	0.0	1.0	4.0	0.0	49.0098910399	0.579885425897	13	4.0	boats
24	0.166666666667	0.699924958599	0	10.9480744465	2.28571428571	6.85440066904	0.533333333333	0.666666666667	0.322033589624	1.75302248407	0.6	1.6	0.166666666667	0.66007281298	0.866666666667	0.0	0.714285714286	5.0	1.0	0.708002387141	0.166666666667	0.494019497865	1.0	0.8	5.0	1.0	2.0	0.0	1.0	7	0	0.0	0.583333333333	2.0	0.4	0.514867545874	1.0	0.666666666667	1.0	4.0	0.6	76.6365211258	0.673506115631	16	5.0	boats
25	0.166666666667	-0.592009088494	0	11.9263847076	2.42857142857	8.76493873574	0.7	0.5	0.235625127207	0.488039891794	0.0	1.0	0.166666666667	0.87980977086	1.0	0.0	0.8	5.0	0.0	0.160573773138	0.166666666667	0.67542503864	1.0	1.0	5.0	0.0	1.0	0.0	0.0	7	0	0.0	0.833333333333	2.5	0.4	0.581622556976	1.0	0.166666666667	1.0	4.0	0.75	83.4846929531	0.627752669581	17	5.0	boats
26	0	None	0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	boats
27	0.166666666667	-0.824492883025	0	11.6402315653	2.28571428571	4.57695974877	0.450216450216	0.545454545455	0.406543126433	1.17266205995	0.0	1.2	0.4	0.80896127916	0.904761904762	0.166666666667	0.846153846154	4.0	0.0	0.372864471748	0.166666666667	0.6832925912	1.0	1.0	5.0	0.0	1.33333333333	1.0	0.0	7	0	0.0	0.9	3.6	0.75	0.714255614037	1.0	0.0555555555556	1.0	3.0	0.875	81.4816209568	0.611957021055	16	5.0	boats
